id,title,english,number,doc_type,authority,published,effective,detail_url,official_url,status,downloaded_file,download_url,failure_reason
19,临床试验用药品附录（试行）,Good Manufacturing Practice for Clinical Trial Medicinal Products (Trial),2022年第43号公告,法律法规,国家药品监督管理局,2022-05-27,2022-07-01,https://www.aiinct.com/regulations/view/19,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20220527182006196.html,已下载,downloads/19_临床试验用药品附录（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/1653646803698006429.doc,
28,药物警戒质量管理规范,Good Pharmacovigilance Practice,NMPA-2021-GVP,指导原则,国家药品监督管理局,2021-05-07,2021-12-01,https://www.aiinct.com/regulations/view/28,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20210513151827179.html,已下载,downloads/28_药物警戒质量管理规范.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/1620890304455001920.doc,
3,药品注册管理办法,Drug Registration Management Measures,国家市场监督管理总局令第27号,法律法规,国家药品监督管理局,2020-01-22,2020-07-01,https://www.aiinct.com/regulations/view/3,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_3275cb2a929d4c34ac8c0421b2a9c257.html,已下载,downloads/3_药品注册管理办法.pdf,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/fgs/202003/W020211127359422658751.pdf?fileName=W020211127359422658751.pdf,
29,药物临床试验机构管理规定,2019年第101号,,法律法规,国家药品监督管理局,2019-11-29,2019-12-01,https://www.aiinct.com/regulations/view/29,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20191129174401214.html,已下载,downloads/29_药物临床试验机构管理规定.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/uL28iCjutKpzuB2bSyytTR6bv6ubm53MDtuea2qC5kb2M=.doc,
33,中华人民共和国药品管理法,Drug Administration Law of the People's Republic of China,中华人民共和国主席令第三十一号,法律法规,国家药品监督管理局,2019-08-26,2019-12-01,https://www.aiinct.com/regulations/view/33,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20190827083801685.html,已下载,downloads/33_中华人民共和国药品管理法.pdf,https://sjfg.samr.gov.cn/law/file//pdf/3235243/1663324393338.pdf,
11,中华人民共和国药品管理法实施条例,Implementation Regulations of the Drug Administration Law of the People's...,国务院令第360号,法律法规,国家药品监督管理局,2002-08-04,2002-09-15,https://www.aiinct.com/regulations/view/11,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250416150007189.html,已下载,downloads/11_中华人民共和国药品管理法实施条例.pdf,https://sjfg.samr.gov.cn/law/file//pdf/3235243/1663334801061.pdf,
1,体外诊断试剂注册与备案管理办法,Administrative Measures for Registration and Filing of In Vitro Diagnostic Reagents,国家市场监督管理总局令第48号,法律法规,国家药品监督管理局,2021-08-26,2021-10-01,https://www.aiinct.com/regulations/view/1,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_a87eaa0612684228a20d4018338f9266.html,已下载,downloads/1_体外诊断试剂注册与备案管理办法.pdf,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/fgs/202108/W020211126446672577455.pdf?fileName=W020211126446672577455.pdf,
23,药品上市后变更管理办法（试行）,Measures for the Administration of Post-Marketing Changes of Drugs (Trial),2021年第8号,法律法规,国家药品监督管理局,2021-01-12,2021-01-12,https://www.aiinct.com/regulations/view/23,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20210113142301136.html,已下载,downloads/23_药品上市后变更管理办法（试行）.doc,https://www.nmpa.gov.cn/directory/web/nmpa/images/1610518955951009938.doc,
14,中华人民共和国中医药法,Law of the People's Republic of China on Traditional Chinese Medicine,123,法律法规,国家药品监督管理局,2016-12-25,2017-07-01,https://www.aiinct.com/regulations/view/14,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250418142325120.html,已下载,downloads/14_中华人民共和国中医药法.pdf,https://upload.wikimedia.org/wikipedia/commons/d/d7/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E6%B3%95.pdf,官方页未直接暴露下载附件；已下载标注来源为国家法律法规数据库的 Commons 原始 PDF
8,医疗器械监督管理条例,Regulations for the Supervision and Administration of Medical Devices,国务院令第276号,法律法规,国家药品监督管理局,2024-12-06,2021-06-01,https://www.aiinct.com/regulations/view/8,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250416172904188.html,已下载,downloads/8_医疗器械监督管理条例.pdf,https://sjfg.samr.gov.cn/law/file//pdf/3235243/1663725202884.pdf,
32,中药注册管理专门规定,Specific Provisions for the Registration Management of Traditional Chinese Medicine,,法律法规,国家药品监督管理局,2023-07-01,2023-07-01,https://www.aiinct.com/regulations/view/32,,已下载,downloads/32_中药注册管理专门规定.docx,https://yjj.sh.gov.cn/cmsres/24/24887ecee52144fc8599328c3e043db6/d158bdb693e75e3dc6059bf9159eaf11.docx,
20,体外诊断试剂分类规则,Classification Rules for In Vitro Diagnostic Reagents,2021年第129号,法律法规,国家药品监督管理局,2021-10-29,2021-10-29,https://www.aiinct.com/regulations/view/20,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20211029152805184.html,已下载,downloads/20_体外诊断试剂分类规则.docx,http://www.nmpa.gov.cn/directory/web/nmpa/images/1635492472754007123.docx,
9,中华人民共和国个人信息保护法,Personal Information Protection Law of the People's Republic of China,全国人大第三十次会议,法律法规,-,2021-08-20,2021-11-01,https://www.aiinct.com/regulations/view/9,http://www.npc.gov.cn/npc/c2/c30834/202108/t20210820_313088.html,已下载,downloads/9_中华人民共和国个人信息保护法.pdf,https://upload.wikimedia.org/wikipedia/commons/d/db/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E4%B8%AA%E4%BA%BA%E4%BF%A1%E6%81%AF%E4%BF%9D%E6%8A%A4%E6%B3%95.pdf,官方页未直接暴露下载附件；已下载标注来源为国家法律法规数据库的 Commons 原始 PDF
22,药品附条件批准上市申请审评审批工作程序（试行）,Work Procedures for Review and Approval of Conditional Marketing...,2020年第82号-2,指导原则,国家药品监督管理局,2020-07-07,2020-07-07,https://www.aiinct.com/regulations/view/22,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200708151701834.html,已下载,downloads/22_药品附条件批准上市申请审评审批工作程序（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/ufq80tKpxre84La9udzA7b7WMjAyMMTqtdo4MrrFuau45ri9vP4xLmRvYw==.doc,
21,突破性治疗药物审评工作程序（试行）,Breakthrough Therapy Drug Review and Approval Work Procedures (Trial),2020年第82号-1,法律法规,国家药品监督管理局,2020-07-07,2020-07-07,https://www.aiinct.com/regulations/view/21,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200708151701834.html,已下载,downloads/21_突破性治疗药物审评工作程序（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/ufq80tKpxre84La9udzA7b7WMjAyMMTqtdo4MrrFuau45ri9vP4xLmRvYw==.doc,
